dataset,case_id,image,mask,baseline_elapsed_ms,baseline_elapsed_seconds,baseline_daughters,baseline_error,contact_elapsed_ms,contact_elapsed_seconds,contact_daughters,contact_error,fusion_elapsed_ms,fusion_elapsed_seconds,fusion_daughters,fusion_error,refined_elapsed_ms,refined_elapsed_seconds,refined_daughters,refined_error
dataset,subject001,dataset/subject001/orig1.nii,dataset/subject001/mask1.nii,1162.073,1.162073,6,,780.166,0.780166,2,,1631.701,1.631701,7,,1463.775,1.463775,5,
dataset,subject002,dataset/subject002/orig2.nii,dataset/subject002/mask2.nii,911.805,0.911805,4,,1285.886,1.285886,4,,2528.417,2.528417,4,,2455.246,2.455246,4,
dataset,subject003,dataset/subject003/orig3.nii,dataset/subject003/mask3.nii,1605.605,1.605605,3,,2030.514,2.030514,6,,4146.13,4.14613,6,,3980.524,3.980524,6,
dataset,subject004,dataset/subject004/orig4.nii,dataset/subject004/mask4.nii,1033.495,1.033495,4,,1518.854,1.518854,6,,2899.01,2.89901,7,,2894.474,2.894474,7,
dataset,subject005,dataset/subject005/orig5.nii,dataset/subject005/mask5.nii,716.394,0.716394,6,,955.535,0.955535,6,,1888.182,1.888182,8,,1872.488,1.872488,8,
dataset,subject006,dataset/subject006/orig6.nii,dataset/subject006/mask6.nii,1235.136,1.235136,3,,1790.139,1.790139,6,,3555.025,3.555025,8,,3501.084,3.501084,7,
dataset,subject007,dataset/subject007/orig7.nii,dataset/subject007/mask7.nii,517.874,0.517874,6,,721.782,0.721782,0,,1420.313,1.420313,6,,1439.167,1.439167,3,
dataset,subject008,dataset/subject008/orig8.nii,dataset/subject008/mask8.nii,2066.905,2.066905,4,,2983.94,2.98394,6,,5175.811,5.175811,7,,5149.112,5.149112,7,
dataset,subject009,dataset/subject009/orig9.nii,dataset/subject009/mask9.nii,913.589,0.913589,4,,1133.08,1.13308,8,,2215.915,2.215915,8,,2223.265,2.223265,8,
dataset,subject010,dataset/subject010/orig10.nii,dataset/subject010/mask10.nii,1161.264,1.161264,3,,1546.823,1.546823,5,,2900.319,2.900319,6,,3388.669,3.388669,6,
dataset,subject011,dataset/subject011/orig11.nii,dataset/subject011/mask11.nii,711.535,0.711535,5,,846.78,0.84678,6,,1643.396,1.643396,9,,1665.238,1.665238,9,
dataset,subject012,dataset/subject012/orig12.nii,dataset/subject012/mask12.nii,1043.474,1.043474,5,,1102.293,1.102293,6,,2192.449,2.192449,6,,2182.887,2.182887,5,
dataset,subject013,dataset/subject013/orig13.nii,dataset/subject013/mask13.nii,607.744,0.607744,8,,781.282,0.781282,7,,1557.396,1.557396,11,,1517.804,1.517804,11,
dataset,subject014,dataset/subject014/orig14.nii,dataset/subject014/mask14.nii,831.491,0.831491,5,,1240.173,1.240173,4,,2352.047,2.352047,5,,2324.952,2.324952,5,
dataset,subject015,dataset/subject015/orig15.nii,dataset/subject015/mask15.nii,1183.713,1.183713,6,,1689.17,1.68917,8,,3364.989,3.364989,11,,3312.567,3.312567,10,
dataset,subject016,dataset/subject016/orig16.nii,dataset/subject016/mask16.nii,375.177,0.375177,5,,575.131,0.575131,0,,936.509,0.936509,5,,915.928,0.915928,3,
dataset,subject017,dataset/subject017/orig17.nii,dataset/subject017/mask17.nii,193.139,0.193139,0,,207.181,0.207181,1,,258.561,0.258561,1,,270.268,0.270268,0,
dataset,subject018,dataset/subject018/orig18.nii,dataset/subject018/mask18.nii,1519.95,1.51995,9,,2545.65,2.54565,2,,3961.981,3.961981,10,,4191.807,4.191807,8,
dataset,subject019,dataset/subject019/orig19.nii,dataset/subject019/mask19.nii,205.441,0.205441,0,,200.067,0.200067,1,,272.057,0.272057,1,,275.903,0.275903,1,
dataset,subject020,dataset/subject020/orig20.nii,dataset/subject020/mask20.nii,253.521,0.253521,0,,277.991,0.277991,1,,364.374,0.364374,1,,397.037,0.397037,2,
dataset,subject021,dataset/subject021/orig21.nii,dataset/subject021/mask21.nii,228.095,0.228095,2,,297.167,0.297167,6,,467.638,0.467638,7,,473.463,0.473463,7,
dataset,subject022,dataset/subject022/orig22.nii,dataset/subject022/mask22.nii,553.308,0.553308,5,,543.832,0.543832,7,,838.327,0.838327,9,,876.672,0.876672,6,
dataset,subject023,dataset/subject023/orig23.nii,dataset/subject023/mask23.nii,170.401,0.170401,1,,189.568,0.189568,1,,254.915,0.254915,1,,255.734,0.255734,1,
dataset,subject024,dataset/subject024/orig24.nii,dataset/subject024/mask24.nii,379.587,0.379587,7,,607.222,0.607222,0,,980.013,0.980013,6,,975.571,0.975571,5,
dataset,subject025,dataset/subject025/orig25.nii,dataset/subject025/mask25.nii,1058.572,1.058572,10,,1368.159,1.368159,5,,2492.031,2.492031,12,,2467.894,2.467894,10,
synthetic_dataset,subject001,synthetic_dataset/subject001/orig1.nii,synthetic_dataset/subject001/mask1.nii,986.723,0.986723,3,,1393.505,1.393505,3,,2858.709,2.858709,3,,2764.803,2.764803,3,
synthetic_dataset,subject002,synthetic_dataset/subject002/orig2.nii,synthetic_dataset/subject002/mask2.nii,1060.09,1.06009,3,,1545.785,1.545785,3,,2922.451,2.922451,3,,2966.532,2.966532,3,
synthetic_dataset,subject003,synthetic_dataset/subject003/orig3.nii,synthetic_dataset/subject003/mask3.nii,1148.864,1.148864,2,,1606.351,1.606351,2,,3257.37,3.25737,2,,3232.354,3.232354,2,
synthetic_dataset,subject004,synthetic_dataset/subject004/orig4.nii,synthetic_dataset/subject004/mask4.nii,1120.384,1.120384,1,,1508.995,1.508995,1,,2942.996,2.942996,1,,2919.165,2.919165,1,
synthetic_dataset,subject005,synthetic_dataset/subject005/orig5.nii,synthetic_dataset/subject005/mask5.nii,1030.366,1.030366,3,,1468.09,1.46809,3,,2951.86,2.95186,3,,2954.495,2.954495,3,
synthetic_dataset,subject006,synthetic_dataset/subject006/orig6.nii,synthetic_dataset/subject006/mask6.nii,1107.05,1.10705,2,,1561.129,1.561129,2,,3121.769,3.121769,2,,3107.618,3.107618,2,
synthetic_dataset,subject007,synthetic_dataset/subject007/orig7.nii,synthetic_dataset/subject007/mask7.nii,998.405,0.998405,4,,1452.93,1.45293,3,,2913.614,2.913614,4,,2876.759,2.876759,4,
synthetic_dataset,subject008,synthetic_dataset/subject008/orig8.nii,synthetic_dataset/subject008/mask8.nii,988.369,0.988369,2,,1399.68,1.39968,2,,2803.203,2.803203,2,,2867.069,2.867069,2,
synthetic_dataset,subject009,synthetic_dataset/subject009/orig9.nii,synthetic_dataset/subject009/mask9.nii,1002.161,1.002161,2,,1430.919,1.430919,2,,2814.274,2.814274,2,,2783.84,2.78384,2,
synthetic_dataset,subject010,synthetic_dataset/subject010/orig10.nii,synthetic_dataset/subject010/mask10.nii,1176.067,1.176067,1,,1654.334,1.654334,1,,3477.886,3.477886,1,,3508.186,3.508186,1,
